iShares Russell 3000 ETF
Fund Holdings as of,"Feb 02, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HSIC","HENRY SCHEIN INC","Health Care","Equity","2,736,700.02","0.02","2,736,700.02","35,943.00","76.14","United States","NASDAQ","USD","1.00","USD","-"
"QRVO","QORVO INC","Information Technology","Equity","2,735,915.49","0.02","2,735,915.49","26,411.00","103.59","United States","NASDAQ","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","2,719,998.35","0.02","2,719,998.35","28,295.00","96.13","United States","NASDAQ","USD","1.00","USD","-"
"PEAK","HEALTHPEAK PROPERTIES INC","Real Estate","Equity","2,711,198.32","0.02","2,711,198.32","148,072.00","18.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPT","CAMDEN PROPERTY TRUST REIT","Real Estate","Equity","2,703,090.87","0.02","2,703,090.87","27,991.00","96.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FBIN","FORTUNE BRANDS INNOVATIONS INC","Industrials","Equity","2,690,964.36","0.02","2,690,964.36","34,758.00","77.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BBWI","BATH AND BODY WORKS INC","Consumer Discretionary","Equity","2,691,379.90","0.02","2,691,379.90","61,942.00","43.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CLF","CLEVELAND CLIFFS INC","Materials","Equity","2,686,202.10","0.02","2,686,202.10","132,065.00","20.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BXP","BOSTON PROPERTIES REIT INC","Real Estate","Equity","2,686,253.13","0.02","2,686,253.13","42,177.00","63.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESTC","ELASTIC NV","Information Technology","Equity","2,681,765.80","0.02","2,681,765.80","21,523.00","124.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIVE","FIVE BELOW INC","Consumer Discretionary","Equity","2,679,160.23","0.02","2,679,160.23","14,793.00","181.11","United States","NASDAQ","USD","1.00","USD","-"
"WSC","WILLSCOT MOBILE MINI HOLDINGS CORP","Industrials","Equity","2,661,411.78","0.02","2,661,411.78","52,743.00","50.46","United States","NASDAQ","USD","1.00","USD","-"
"EMN","EASTMAN CHEMICAL","Materials","Equity","2,656,911.60","0.02","2,656,911.60","32,166.00","82.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTC","TORO","Industrials","Equity","2,655,308.04","0.02","2,655,308.04","28,266.00","93.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSY","BENTLEY SYSTEMS INC CLASS B","Information Technology","Equity","2,654,361.50","0.02","2,654,361.50","51,541.00","51.50","United States","NASDAQ","USD","1.00","USD","-"
"WRK","WESTROCK","Materials","Equity","2,651,351.23","0.02","2,651,351.23","68,281.00","38.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALLY","ALLY FINANCIAL INC","Financials","Equity","2,640,456.00","0.02","2,640,456.00","72,540.00","36.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EWBC","EAST WEST BANCORP INC","Financials","Equity","2,641,208.40","0.02","2,641,208.40","37,710.00","70.04","United States","NASDAQ","USD","1.00","USD","-"
"CTLT","CATALENT INC","Health Care","Equity","2,614,463.13","0.02","2,614,463.13","47,963.00","54.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UHS","UNIVERSAL HEALTH SERVICES INC CLAS","Health Care","Equity","2,614,582.91","0.02","2,614,582.91","16,067.00","162.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHK","CHESAPEAKE ENERGY CORP","Energy","Equity","2,606,357.70","0.02","2,606,357.70","34,030.00","76.59","United States","NASDAQ","USD","1.00","USD","-"
"QGEN","QIAGEN NV","Health Care","Equity","2,603,725.42","0.02","2,603,725.42","59,842.00","43.51","Germany","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","2,597,693.84","0.02","2,597,693.84","56,644.00","45.86","United States","NASDAQ","USD","1.00","USD","-"
"NWSA","NEWS CORP CLASS A","Communication","Equity","2,590,486.60","0.02","2,590,486.60","104,878.00","24.70","United States","NASDAQ","USD","1.00","USD","-"
"CUBE","CUBESMART REIT","Real Estate","Equity","2,579,264.27","0.02","2,579,264.27","59,389.00","43.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UTHR","UNITED THERAPEUTICS CORP","Health Care","Equity","2,571,803.91","0.02","2,571,803.91","12,051.00","213.41","United States","NASDAQ","USD","1.00","USD","-"
"AAL","AMERICAN AIRLINES GROUP INC","Industrials","Equity","2,570,000.16","0.02","2,570,000.16","176,511.00","14.56","United States","NASDAQ","USD","1.00","USD","-"
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Financials","Equity","2,550,505.50","0.02","2,550,505.50","132,425.00","19.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETSY","ETSY INC","Consumer Discretionary","Equity","2,551,014.30","0.02","2,551,014.30","33,699.00","75.70","United States","NASDAQ","USD","1.00","USD","-"
"TPR","TAPESTRY INC","Consumer Discretionary","Equity","2,548,596.99","0.02","2,548,596.99","63,699.00","40.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"U","UNITY SOFTWARE INC","Information Technology","Equity","2,542,768.36","0.02","2,542,768.36","77,429.00","32.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCK","CROWN HOLDINGS INC","Materials","Equity","2,533,722.24","0.02","2,533,722.24","28,456.00","89.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KNX","KNIGHT-SWIFT TRANSPORTATION HOLDIN","Industrials","Equity","2,525,659.17","0.02","2,525,659.17","42,541.00","59.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AOS","A O SMITH CORP","Industrials","Equity","2,520,972.72","0.02","2,520,972.72","32,184.00","78.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNM","UNUM","Financials","Equity","2,519,245.44","0.02","2,519,245.44","53,216.00","47.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APA","APA CORP","Energy","Equity","2,516,633.28","0.02","2,516,633.28","83,222.00","30.24","United States","NASDAQ","USD","1.00","USD","-"
"DKS","DICKS SPORTING INC","Consumer Discretionary","Equity","2,515,634.80","0.02","2,515,634.80","16,130.00","155.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AFRM","AFFIRM HOLDINGS INC CLASS A","Financials","Equity","2,505,957.06","0.02","2,505,957.06","61,106.00","41.01","United States","NASDAQ","USD","1.00","USD","-"
"GWRE","GUIDEWIRE SOFTWARE INC","Information Technology","Equity","2,500,638.39","0.02","2,500,638.39","22,069.00","113.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TREX","TREX INC","Industrials","Equity","2,495,986.24","0.02","2,495,986.24","28,832.00","86.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Real Estate","Equity","2,490,853.24","0.02","2,490,853.24","23,572.00","105.67","United States","NASDAQ","USD","1.00","USD","-"
"THC","TENET HEALTHCARE CORP","Health Care","Equity","2,487,125.86","0.02","2,487,125.86","27,842.00","89.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMS","ADVANCED DRAINAGE SYSTEMS INC","Industrials","Equity","2,482,354.05","0.02","2,482,354.05","18,381.00","135.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEN","PENUMBRA INC","Health Care","Equity","2,461,129.66","0.02","2,461,129.66","9,766.00","252.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"Z","ZILLOW GROUP INC CLASS C","Real Estate","Equity","2,461,539.70","0.02","2,461,539.70","42,698.00","57.65","United States","NASDAQ","USD","1.00","USD","-"
"ELF","ELF BEAUTY INC","Consumer Staples","Equity","2,459,822.40","0.02","2,459,822.40","14,490.00","169.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEX","WEX INC","Financials","Equity","2,450,109.50","0.02","2,450,109.50","11,822.00","207.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RRX","REGAL REXNORD CORP","Industrials","Equity","2,446,247.30","0.02","2,446,247.30","17,561.00","139.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HRL","HORMEL FOODS CORP","Consumer Staples","Equity","2,422,938.60","0.02","2,422,938.60","79,181.00","30.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TPL","TEXAS PACIFIC LAND CORP","Energy","Equity","2,408,884.50","0.02","2,408,884.50","1,675.00","1,438.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXRH","TEXAS ROADHOUSE INC","Consumer Discretionary","Equity","2,406,159.00","0.02","2,406,159.00","18,438.00","130.50","United States","NASDAQ","USD","1.00","USD","-"
"TTEK","TETRA TECH INC","Industrials","Equity","2,394,243.42","0.02","2,394,243.42","14,398.00","166.29","United States","NASDAQ","USD","1.00","USD","-"
"CHE","CHEMED CORP","Health Care","Equity","2,389,894.08","0.02","2,389,894.08","3,976.00","601.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACI","ALBERTSONS COMPANY INC CLASS A","Consumer Staples","Equity","2,385,200.65","0.02","2,385,200.65","111,719.00","21.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WING","WINGSTOP INC","Consumer Discretionary","Equity","2,383,311.14","0.02","2,383,311.14","8,282.00","287.77","United States","NASDAQ","USD","1.00","USD","-"
"CHDN","CHURCHILL DOWNS INC","Consumer Discretionary","Equity","2,377,123.02","0.02","2,377,123.02","19,507.00","121.86","United States","NASDAQ","USD","1.00","USD","-"
"CG","CARLYLE GROUP INC","Financials","Equity","2,371,209.75","0.02","2,371,209.75","57,905.00","40.95","United States","NASDAQ","USD","1.00","USD","-"
"PATH","UIPATH INC CLASS A","Information Technology","Equity","2,369,057.36","0.02","2,369,057.36","101,069.00","23.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CZR","CAESARS ENTERTAINMENT INC","Consumer Discretionary","Equity","2,358,118.02","0.02","2,358,118.02","54,322.00","43.41","United States","NASDAQ","USD","1.00","USD","-"
"CLH","CLEAN HARBORS INC","Industrials","Equity","2,358,638.28","0.02","2,358,638.28","13,644.00","172.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTRG","ESSENTIAL UTILITIES INC","Utilities","Equity","2,355,571.25","0.02","2,355,571.25","65,125.00","36.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XP","XP CLASS A INC","Financials","Equity","2,339,634.70","0.02","2,339,634.70","89,095.00","26.26","United States","NASDAQ","USD","1.00","USD","-"
"AFG","AMERICAN FINANCIAL GROUP INC","Financials","Equity","2,330,388.76","0.02","2,330,388.76","19,684.00","118.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RHI","ROBERT HALF","Industrials","Equity","2,317,771.04","0.02","2,317,771.04","28,664.00","80.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KNSL","KINSALE CAPITAL GROUP INC","Financials","Equity","2,314,566.28","0.02","2,314,566.28","5,849.00","395.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHRW","CH ROBINSON WORLDWIDE INC","Industrials","Equity","2,305,294.74","0.02","2,305,294.74","31,098.00","74.13","United States","NASDAQ","USD","1.00","USD","-"
"CPB","CAMPBELL SOUP","Consumer Staples","Equity","2,301,820.74","0.02","2,301,820.74","51,357.00","44.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DBX","DROPBOX INC CLASS A","Information Technology","Equity","2,300,694.32","0.02","2,300,694.32","70,856.00","32.47","United States","NASDAQ","USD","1.00","USD","-"
"AIZ","ASSURANT INC","Financials","Equity","2,298,329.64","0.02","2,298,329.64","13,774.00","166.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CW","CURTISS WRIGHT CORP","Industrials","Equity","2,292,907.88","0.02","2,292,907.88","10,151.00","225.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BJ","BJS WHOLESALE CLUB HOLDINGS INC","Consumer Staples","Equity","2,286,879.50","0.02","2,286,879.50","35,450.00","64.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATR","APTARGROUP INC","Materials","Equity","2,284,816.20","0.02","2,284,816.20","17,562.00","130.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTN","VAIL RESORTS INC","Consumer Discretionary","Equity","2,283,175.46","0.02","2,283,175.46","10,267.00","222.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EGP","EASTGROUP PROPERTIES REIT INC","Real Estate","Equity","2,280,451.94","0.02","2,280,451.94","12,454.00","183.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LSCC","LATTICE SEMICONDUCTOR CORP","Information Technology","Equity","2,280,988.08","0.02","2,280,988.08","36,981.00","61.68","United States","NASDAQ","USD","1.00","USD","-"
"EXP","EAGLE MATERIALS INC","Materials","Equity","2,277,493.43","0.02","2,277,493.43","9,641.00","236.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MKTX","MARKETAXESS HOLDINGS INC","Financials","Equity","2,271,368.68","0.02","2,271,368.68","10,108.00","224.71","United States","NASDAQ","USD","1.00","USD","-"
"JLL","JONES LANG LASALLE INC","Real Estate","Equity","2,262,661.95","0.02","2,262,661.95","12,867.00","175.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBS","WEBSTER FINANCIAL CORP","Financials","Equity","2,247,806.86","0.02","2,247,806.86","47,203.00","47.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TPX","TEMPUR SEALY INTERNATIONAL INC","Consumer Discretionary","Equity","2,238,508.48","0.02","2,238,508.48","44,512.00","50.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WWD","WOODWARD INC","Industrials","Equity","2,239,160.58","0.02","2,239,160.58","16,433.00","136.26","United States","NASDAQ","USD","1.00","USD","-"
"SWAV","SHOCKWAVE MEDICAL INC","Health Care","Equity","2,229,510.91","0.02","2,229,510.91","9,547.00","233.53","United States","NASDAQ","USD","1.00","USD","-"
"PARA","PARAMOUNT GLOBAL CLASS B","Communication","Equity","2,229,204.12","0.02","2,229,204.12","154,484.00","14.43","United States","NASDAQ","USD","1.00","USD","-"
"DCI","DONALDSON INC","Industrials","Equity","2,226,147.84","0.02","2,226,147.84","33,024.00","67.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTI","TECHNIPFMC PLC","Energy","Equity","2,221,697.19","0.02","2,221,697.19","117,737.00","18.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRI","PRIMERICA INC","Financials","Equity","2,222,626.98","0.02","2,222,626.98","9,498.00","234.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HEI","HEICO CORP","Industrials","Equity","2,212,232.00","0.02","2,212,232.00","12,023.00","184.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CIEN","CIENA CORP","Information Technology","Equity","2,211,017.60","0.02","2,211,017.60","40,480.00","54.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SSD","SIMPSON MANUFACTURING INC","Industrials","Equity","2,198,920.93","0.02","2,198,920.93","11,747.00","187.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DINO","HF SINCLAIR CORP","Energy","Equity","2,192,015.16","0.02","2,192,015.16","38,783.00","56.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OLED","UNIVERSAL DISPLAY CORP","Information Technology","Equity","2,186,856.12","0.02","2,186,856.12","12,764.00","171.33","United States","NASDAQ","USD","1.00","USD","-"
"LEA","LEAR CORP","Consumer Discretionary","Equity","2,185,813.08","0.02","2,185,813.08","16,116.00","135.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Real Estate","Equity","2,183,585.58","0.02","2,183,585.58","21,414.00","101.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BERY","BERRY GLOBAL GROUP INC","Materials","Equity","2,181,433.36","0.02","2,181,433.36","33,284.00","65.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BILL","BILL HOLDINGS INC","Information Technology","Equity","2,168,634.58","0.02","2,168,634.58","27,251.00","79.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WCC","WESCO INTERNATIONAL INC","Industrials","Equity","2,169,419.66","0.02","2,169,419.66","11,782.00","184.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RBC","RBC BEARINGS INC","Industrials","Equity","2,167,510.59","0.02","2,167,510.59","7,857.00","275.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GNTX","GENTEX CORP","Consumer Discretionary","Equity","2,159,633.76","0.02","2,159,633.76","63,444.00","34.04","United States","NASDAQ","USD","1.00","USD","-"
"BWA","BORGWARNER INC","Consumer Discretionary","Equity","2,150,874.46","0.02","2,150,874.46","63,094.00","34.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NYT","NEW YORK TIMES CLASS A","Communication","Equity","2,146,528.20","0.02","2,146,528.20","44,140.00","48.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CACI","CACI INTERNATIONAL INC CLASS A","Industrials","Equity","2,137,006.08","0.02","2,137,006.08","6,138.00","348.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","2,135,633.85","0.02","2,135,633.85","9,549.00","223.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNW","PINNACLE WEST CORP","Utilities","Equity","2,131,211.40","0.02","2,131,211.40","31,022.00","68.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GPK","GRAPHIC PACKAGING HOLDING","Materials","Equity","2,126,462.66","0.02","2,126,462.66","83,818.00","25.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LAD","LITHIA MOTORS INC","Consumer Discretionary","Equity","2,124,542.16","0.02","2,124,542.16","7,137.00","297.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FOXA","FOX CORP CLASS A","Communication","Equity","2,125,130.40","0.02","2,125,130.40","66,828.00","31.80","United States","NASDAQ","USD","1.00","USD","-"
"FIX","COMFORT SYSTEMS USA INC","Industrials","Equity","2,122,779.62","0.02","2,122,779.62","9,178.00","231.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BWXT","BWX TECHNOLOGIES INC","Industrials","Equity","2,119,941.17","0.02","2,119,941.17","25,477.00","83.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKR","BRUKER CORP","Health Care","Equity","2,118,040.32","0.02","2,118,040.32","29,352.00","72.16","United States","NASDAQ","USD","1.00","USD","-"
"LBRDK","LIBERTY BROADBAND CORP SERIES C","Communication","Equity","2,118,156.48","0.02","2,118,156.48","31,671.00","66.88","United States","NASDAQ","USD","1.00","USD","-"
"ONTO","ONTO INNOVATION INC","Information Technology","Equity","2,112,258.51","0.02","2,112,258.51","12,807.00","164.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FHN","FIRST HORIZON CORP","Financials","Equity","2,100,337.54","0.02","2,100,337.54","150,778.00","13.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MIDD","MIDDLEBY CORP","Industrials","Equity","2,084,256.56","0.02","2,084,256.56","14,563.00","143.12","United States","NASDAQ","USD","1.00","USD","-"
"NCLH","NORWEGIAN CRUISE LINE HOLDINGS LTD","Consumer Discretionary","Equity","2,070,169.30","0.02","2,070,169.30","116,695.00","17.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AYI","ACUITY BRANDS INC","Industrials","Equity","2,069,034.00","0.02","2,069,034.00","8,648.00","239.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CELH","CELSIUS HOLDINGS INC","Consumer Staples","Equity","2,066,245.50","0.02","2,066,245.50","38,730.00","53.35","United States","NASDAQ","USD","1.00","USD","-"
"RGLD","ROYAL GOLD INC","Materials","Equity","2,065,270.82","0.02","2,065,270.82","18,118.00","113.99","United States","NASDAQ","USD","1.00","USD","-"
"BEN","FRANKLIN RESOURCES INC","Financials","Equity","2,055,816.36","0.02","2,055,816.36","76,396.00","26.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FMC","FMC CORP","Materials","Equity","2,051,393.42","0.02","2,051,393.42","33,394.00","61.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OSK","OSHKOSH CORP","Industrials","Equity","2,052,175.56","0.02","2,052,175.56","18,092.00","113.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JAZZ","JAZZ PHARMACEUTICALS PLC","Health Care","Equity","2,045,547.60","0.02","2,045,547.60","16,644.00","122.90","United States","NASDAQ","USD","1.00","USD","-"
"BRBR","BELLRING BRANDS INC","Consumer Staples","Equity","2,041,201.68","0.02","2,041,201.68","35,924.00","56.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","2,036,720.70","0.02","2,036,720.70","29,582.00","68.85","United States","NASDAQ","USD","1.00","USD","-"
"NTRA","NATERA INC","Health Care","Equity","2,035,286.50","0.02","2,035,286.50","30,050.00","67.73","United States","NASDAQ","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","2,027,183.07","0.02","2,027,183.07","24,761.00","81.87","United States","NASDAQ","USD","1.00","USD","-"
"AGCO","AGCO CORP","Industrials","Equity","2,024,992.20","0.02","2,024,992.20","16,540.00","122.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COLD","AMERICOLD REALTY INC TRUST","Real Estate","Equity","2,019,028.41","0.02","2,019,028.41","71,673.00","28.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XRAY","DENTSPLY SIRONA INC","Health Care","Equity","2,018,509.22","0.02","2,018,509.22","59,038.00","34.19","United States","NASDAQ","USD","1.00","USD","-"
"INGR","INGREDION INC","Consumer Staples","Equity","2,015,083.96","0.02","2,015,083.96","18,118.00","111.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SKX","SKECHERS USA INC CLASS A","Consumer Discretionary","Equity","2,013,454.96","0.02","2,013,454.96","35,299.00","57.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NNN","NNN REIT INC","Real Estate","Equity","2,012,256.00","0.02","2,012,256.00","49,320.00","40.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXTA","AXALTA COATING SYSTEMS LTD","Materials","Equity","2,002,802.76","0.02","2,002,802.76","61,398.00","32.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACHC","ACADIA HEALTHCARE COMPANY INC","Health Care","Equity","1,997,141.30","0.02","1,997,141.30","24,871.00","80.30","United States","NASDAQ","USD","1.00","USD","-"
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Financials","Equity","1,991,540.87","0.02","1,991,540.87","71,819.00","27.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PVH","PVH CORP","Consumer Discretionary","Equity","1,983,227.82","0.02","1,983,227.82","16,339.00","121.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SF","STIFEL FINANCIAL CORP","Financials","Equity","1,961,175.84","0.02","1,961,175.84","26,247.00","74.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KBR","KBR INC","Industrials","Equity","1,952,787.48","0.02","1,952,787.48","36,852.00","52.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JEF","JEFFERIES FINANCIAL GROUP INC","Financials","Equity","1,949,841.24","0.02","1,949,841.24","48,002.00","40.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MKSI","MKS INSTRUMENTS INC","Information Technology","Equity","1,945,664.55","0.01","1,945,664.55","17,793.00","109.35","United States","NASDAQ","USD","1.00","USD","-"
"GNRC","GENERAC HOLDINGS INC","Industrials","Equity","1,943,602.90","0.01","1,943,602.90","16,735.00","116.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","1,944,491.64","0.01","1,944,491.64","178,067.00","10.92","United States","NASDAQ","USD","1.00","USD","-"
"LNW","LIGHT WONDER INC","Consumer Discretionary","Equity","1,940,210.96","0.01","1,940,210.96","23,906.00","81.16","United States","NASDAQ","USD","1.00","USD","-"
"SOFI","SOFI TECHNOLOGIES INC","Financials","Equity","1,938,645.48","0.01","1,938,645.48","246,021.00","7.88","United States","NASDAQ","USD","1.00","USD","-"
"ELAN","ELANCO ANIMAL HEALTH INC","Health Care","Equity","1,935,978.63","0.01","1,935,978.63","131,431.00","14.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IONS","IONIS PHARMACEUTICALS INC","Health Care","Equity","1,930,499.00","0.01","1,930,499.00","38,804.00","49.75","United States","NASDAQ","USD","1.00","USD","-"
"SWN","SOUTHWESTERN ENERGY","Energy","Equity","1,929,840.00","0.01","1,929,840.00","299,200.00","6.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APG","API GROUP CORP","Industrials","Equity","1,913,652.57","0.01","1,913,652.57","56,937.00","33.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NXT","NEXTRACKER INC CLASS A","Industrials","Equity","1,914,191.91","0.01","1,914,191.91","33,009.00","57.99","United States","NASDAQ","USD","1.00","USD","-"
"VOYA","VOYA FINANCIAL INC","Financials","Equity","1,907,742.59","0.01","1,907,742.59","26,611.00","71.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MORN","MORNINGSTAR INC","Financials","Equity","1,905,971.72","0.01","1,905,971.72","6,857.00","277.96","United States","NASDAQ","USD","1.00","USD","-"
"SAIC","SCIENCE APPLICATIONS INTERNATIONAL","Industrials","Equity","1,904,832.65","0.01","1,904,832.65","14,765.00","129.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OWL","BLUE OWL CAPITAL INC CLASS A","Financials","Equity","1,905,424.20","0.01","1,905,424.20","119,838.00","15.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES INC","Industrials","Equity","1,902,428.06","0.01","1,902,428.06","16,517.00","115.18","United States","NASDAQ","USD","1.00","USD","-"
"STAG","STAG INDUSTRIAL REIT INC","Real Estate","Equity","1,900,696.57","0.01","1,900,696.57","50,537.00","37.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QLYS","QUALYS INC","Information Technology","Equity","1,898,802.09","0.01","1,898,802.09","10,107.00","187.87","United States","NASDAQ","USD","1.00","USD","-"
"MUSA","MURPHY USA INC","Consumer Discretionary","Equity","1,890,292.80","0.01","1,890,292.80","5,280.00","358.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMA","COMERICA INC","Financials","Equity","1,889,882.28","0.01","1,889,882.28","36,711.00","51.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IMGN","IMMUNOGEN INC","Health Care","Equity","1,879,311.28","0.01","1,879,311.28","64,228.00","29.26","United States","NASDAQ","USD","1.00","USD","-"
