iShares Russell 3000 ETF
Fund Holdings as of,"Feb 02, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"LIN","LINDE PLC","Materials","Equity","53,479,820.39","0.41","53,479,820.39","131,371.00","407.09","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","52,484,632.83","0.40","52,484,632.83","468,153.00","112.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","48,918,378.60","0.38","48,918,378.60","995,085.00","49.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","48,727,413.60","0.37","48,727,413.60","1,143,836.00","42.60","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","48,682,230.12","0.37","48,682,230.12","1,079,668.00","45.09","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","48,312,335.39","0.37","48,312,335.39","417,241.00","115.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","48,036,418.54","0.37","48,036,418.54","494,558.00","97.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","47,948,110.87","0.37","47,948,110.87","1,138,099.00","42.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","47,248,972.50","0.36","47,248,972.50","73,875.00","639.58","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","46,690,289.73","0.36","46,690,289.73","144,467.00","323.19","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","45,653,619.33","0.35","45,653,619.33","245,727.00","185.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","43,843,537.71","0.34","43,843,537.71","177,987.00","246.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","43,473,597.48","0.33","43,473,597.48","137,972.00","315.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","43,013,690.20","0.33","43,013,690.20","55,054.00","781.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","42,749,148.21","0.33","42,749,148.21","301,709.00","141.69","United States","NASDAQ","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","41,151,409.84","0.32","41,151,409.84","1,528,088.00","26.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","40,973,705.01","0.32","40,973,705.01","164,997.00","248.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","40,028,339.48","0.31","40,028,339.48","293,162.00","136.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","39,382,480.80","0.30","39,382,480.80","86,736.00","454.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","39,082,644.80","0.30","39,082,644.80","245,494.00","159.20","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","39,026,508.15","0.30","39,026,508.15","419,685.00","92.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
